fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.478,0.341,10.0,14.3,153.0,133.0,0
0.533,0.393,40.0,18.8,227.0,133.0,1
0.427,0.314,20.0,12.2,131.0,118.0,0
0.455,0.229,21.0,9.1,153.0,103.0,1
0.443,0.375,19.0,21.7,277.0,116.0,0
0.4,0.31,26.0,13.1,177.0,119.0,0
0.495,0.436,24.0,7.2,235.0,118.0,1
0.421,0.35,16.0,9.5,216.0,126.0,1
0.407,0.385,30.0,4.5,217.0,119.0,0
0.458,0.429,16.0,8.9,177.0,136.0,0
0.538,0.379,9.0,11.8,215.0,138.0,1
0.435,0.514,6.0,11.0,135.0,128.0,0
0.557,0.684,25.0,8.1,232.0,133.0,1
0.49,0.319,28.0,10.8,159.0,138.0,1
0.463,0.5,9.0,17.6,147.0,121.0,0
0.433,0.354,20.0,8.1,152.0,137.0,1
0.446,0.276,17.0,9.0,155.0,98.0,1
0.442,0.303,17.0,19.5,148.0,135.0,0
0.592,0.409,19.0,12.4,171.0,104.0,0
0.468,0.324,8.0,10.9,149.0,119.0,1
0.446,0.286,15.0,6.5,178.0,114.0,0
0.431,0.424,18.0,18.7,138.0,118.0,1
0.398,0.286,26.0,11.0,300.0,137.0,0
0.512,0.313,15.0,7.6,163.0,115.0,1
0.476,0.353,19.0,16.3,126.0,128.0,0
0.432,0.375,20.0,16.6,159.0,146.0,0
0.46,0.297,11.0,11.4,137.0,113.0,0
0.489,0.361,25.0,11.5,247.0,125.0,0
0.449,0.317,21.0,13.1,193.0,112.0,1
0.429,0.464,16.0,9.6,300.0,109.0,0
0.444,0.207,20.0,13.0,217.0,118.0,0
0.429,0.406,22.0,15.3,234.0,109.0,1
0.432,0.182,14.0,8.7,139.0,137.0,1
0.465,0.55,25.0,10.4,171.0,122.0,0
0.5,0.286,10.0,9.2,179.0,111.0,1
0.482,0.32,14.0,8.8,238.0,114.0,1
0.548,0.414,36.0,13.7,199.0,130.0,1
0.642,0.364,22.0,17.9,184.0,130.0,1
0.525,0.4,14.0,14.5,171.0,107.0,1
0.519,0.325,22.0,18.7,176.0,103.0,0
0.361,0.308,12.0,18.1,131.0,108.0,0
0.392,0.333,26.0,17.7,205.0,126.0,1
0.447,0.28,16.0,16.6,145.0,133.0,0
0.484,0.444,3.0,13.9,216.0,109.0,1
0.438,0.333,12.0,12.3,210.0,149.0,0
0.408,0.378,16.0,10.2,225.0,110.0,0
0.46,0.419,14.0,9.5,230.0,98.0,1
0.442,0.344,20.0,12.6,170.0,108.0,1
0.476,0.296,13.0,11.8,145.0,101.0,0
0.446,0.424,20.0,11.4,141.0,129.0,1
0.534,0.457,14.0,14.8,192.0,126.0,0
0.475,0.348,18.0,15.9,183.0,130.0,1
0.513,0.45,28.0,8.5,194.0,120.0,1
0.452,0.364,23.0,14.9,176.0,109.0,1
0.5,0.483,16.0,11.4,186.0,113.0,1
0.556,0.357,18.0,7.3,172.0,141.0,1
0.406,0.375,29.0,17.3,187.0,128.0,1
0.404,0.256,11.0,16.5,181.0,105.0,1
0.388,0.324,26.0,15.1,148.0,101.0,1
0.553,0.364,14.0,12.2,166.0,107.0,0
0.407,0.355,17.0,15.0,127.0,116.0,1
0.442,0.333,25.0,13.4,147.0,141.0,1
0.391,0.25,22.0,21.4,128.0,136.0,0
0.458,0.414,15.0,10.8,149.0,115.0,1
0.439,0.216,17.0,8.4,177.0,113.0,1
0.523,0.273,18.0,10.7,145.0,112.0,1
0.429,0.24,16.0,17.4,126.0,111.0,0
0.43,0.486,13.0,8.7,137.0,100.0,1
0.451,0.375,13.0,10.9,153.0,119.0,0
0.443,0.286,30.0,14.4,203.0,117.0,1
0.407,0.406,22.0,10.5,179.0,122.0,1
0.412,0.385,12.0,13.0,150.0,111.0,1
0.41,0.333,12.0,16.4,300.0,114.0,0
